pH,Temperature,Humidity,Moisture,N,P,K,Semantic_Tag,Days_to_Ready
7.39,38.79,70.07,21.35,39,28,33,"K-deficiency, P-deficiency",45.805
5.2,36.86,52.96,27.01,35,35,78,"Healthy, Pest-risk",45.062
7.76,31.0,90.18,8.52,60,25,79,"Pest-risk, Pest-risk",60.70400000000001
6.15,29.81,93.06,10.56,56,18,44,"N-deficiency, N-deficiency",59.846999999999994
5.87,32.47,85.93,22.74,33,39,55,"K-deficiency, P-deficiency",49.333000000000006
5.71,24.08,40.16,24.13,59,44,46,"Healthy, Pest-risk",52.736000000000004
5.62,36.3,59.85,17.42,46,24,85,"Healthy, K-deficiency",52.174
7.35,23.05,72.33,23.65,51,42,50,"K-deficiency, N-deficiency",51.754999999999995
5.54,27.27,35.37,14.81,49,8,42,"K-deficiency, Pest-risk",58.937000000000005
6.7,24.06,59.24,24.98,60,18,20,"P-deficiency, Healthy",50.086000000000006
6.11,18.08,64.1,21.88,32,11,90,"K-deficiency, P-deficiency",56.736000000000004
5.48,39.47,70.67,17.49,56,25,46,"K-deficiency, Healthy",50.81300000000001
6.17,30.59,77.09,31.53,64,5,49,"K-deficiency, K-deficiency",42.641000000000005
6.82,28.89,41.06,23.9,46,9,54,"P-deficiency, Healthy",48.295
6.54,36.8,76.11,10.84,69,12,94,"Pest-risk, Pest-risk",55.348
7.03,21.33,42.05,32.5,19,31,73,"Healthy, P-deficiency",44.895
5.32,34.6,75.23,8.81,51,36,78,"Healthy, N-deficiency",60.512
5.11,39.52,45.17,18.47,67,20,21,"N-deficiency, K-deficiency",50.744
5.16,24.45,88.87,32.58,40,22,30,"K-deficiency, N-deficiency",46.891000000000005
5.86,35.56,40.14,9.69,49,31,90,"Pest-risk, Pest-risk",58.248000000000005
6.71,30.48,27.45,24.31,41,44,41,"K-deficiency, K-deficiency",47.392
5.62,18.96,66.14,21.53,41,13,55,"P-deficiency, N-deficiency",57.556
6.19,18.19,43.09,33.21,33,32,32,"N-deficiency, Pest-risk",47.457
5.66,37.93,30.91,37.18,57,19,61,"Pest-risk, P-deficiency",35.471000000000004
7.32,32.81,91.27,8.07,64,42,35,"Pest-risk, N-deficiency",59.279
5.22,30.47,67.56,8.56,32,29,79,"K-deficiency, N-deficiency",62.977000000000004
5.77,19.76,40.79,11.04,32,21,25,"N-deficiency, Healthy",65.24799999999999
7.22,38.09,50.0,11.66,66,29,81,"P-deficiency, P-deficiency",53.567
7.83,29.99,40.93,23.06,38,10,70,"P-deficiency, P-deficiency",49.717
6.83,28.67,93.61,11.94,46,14,62,"Pest-risk, Healthy",57.953
5.59,24.64,63.83,21.85,37,41,72,"N-deficiency, N-deficiency",54.52
6.03,39.33,78.39,32.27,30,28,52,"N-deficiency, K-deficiency",37.958999999999996
5.26,25.34,40.33,13.15,24,24,31,"N-deficiency, N-deficiency",61.790000000000006
7.48,21.14,67.83,8.57,39,41,64,"Pest-risk, N-deficiency",65.03399999999999
5.43,22.14,73.48,35.81,62,32,49,"Pest-risk, K-deficiency",44.922
6.49,32.94,69.96,25.71,30,13,86,"Pest-risk, P-deficiency",45.482
7.5,39.02,34.06,30.92,30,30,21,"Pest-risk, Pest-risk",38.254
5.48,36.04,56.61,19.09,48,39,24,"Healthy, Pest-risk",51.248
6.87,21.4,76.5,14.77,63,34,44,"Pest-risk, P-deficiency",59.24400000000001
5.69,32.37,38.87,26.88,20,33,37,"Healthy, K-deficiency",46.431000000000004
7.48,21.22,41.25,35.11,41,31,40,"Healthy, N-deficiency",43.762
5.22,26.41,56.81,23.79,27,26,21,"P-deficiency, Healthy",52.82300000000001
5.77,34.66,82.45,9.74,39,39,86,"Pest-risk, N-deficiency",58.838
5.65,26.38,33.69,10.79,22,39,72,"N-deficiency, P-deficiency",62.378
5.71,29.14,78.54,37.84,16,44,35,"N-deficiency, P-deficiency",39.238
6.29,20.7,78.73,8.74,20,5,51,"K-deficiency, N-deficiency",65.578
6.39,20.71,84.83,33.59,30,33,56,"Pest-risk, Healthy",45.492999999999995
7.87,35.21,70.5,24.71,32,10,64,"K-deficiency, P-deficiency",45.867
5.1,32.92,44.97,35.37,24,9,81,"Healthy, K-deficiency",40.544
6.74,23.89,29.7,24.55,42,16,59,"N-deficiency, Healthy",50.435
6.72,34.77,55.73,28.27,23,30,60,"K-deficiency, Pest-risk",42.059
5.47,37.64,66.97,31.67,65,6,78,"Pest-risk, Healthy",40.404
6.58,40.78,77.09,11.74,60,16,33,"N-deficiency, Healthy",52.55800000000001
6.4,29.67,80.18,35.67,67,34,75,"Pest-risk, Pest-risk",39.32899999999999
5.32,23.85,58.2,26.71,21,37,22,"K-deficiency, P-deficiency",51.567
6.47,41.57,29.49,24.86,27,10,24,"Pest-risk, Healthy",41.887
6.32,40.03,65.34,14.15,23,42,30,"P-deficiency, N-deficiency",51.525000000000006
7.34,40.65,47.85,19.52,23,43,80,"Healthy, K-deficiency",46.239000000000004
6.37,25.95,26.03,37.84,34,11,60,"Healthy, Pest-risk",39.513
6.88,20.31,76.03,13.09,30,31,43,"Healthy, N-deficiency",61.113
7.91,33.56,83.3,30.12,34,12,56,"N-deficiency, P-deficiency",42.444
7.86,40.84,50.02,29.35,61,22,38,"N-deficiency, P-deficiency",39.32
6.34,33.59,34.87,14.31,16,17,61,"P-deficiency, Pest-risk",54.577
6.27,38.27,93.1,32.72,29,39,54,"Healthy, K-deficiency",37.649
6.16,22.2,57.31,19.13,42,43,58,"Pest-risk, K-deficiency",56.776
6.78,24.93,40.53,30.21,54,15,74,"Healthy, Pest-risk",45.307
7.39,23.52,76.11,11.83,34,18,62,"P-deficiency, P-deficiency",61.056000000000004
7.34,36.91,33.16,24.22,33,22,67,"K-deficiency, Pest-risk",44.349000000000004
5.31,30.08,61.8,24.78,33,32,67,"N-deficiency, N-deficiency",50.016000000000005
5.83,41.17,48.44,26.85,54,12,44,"P-deficiency, Healthy",41.775
6.17,20.74,77.03,18.32,40,16,42,"P-deficiency, N-deficiency",58.134
5.03,36.53,63.57,32.63,65,25,92,"P-deficiency, P-deficiency",41.071
7.07,35.95,26.48,35.68,19,38,33,"Pest-risk, N-deficiency",35.121
7.96,28.93,61.83,13.47,29,33,42,"P-deficiency, Pest-risk",58.179
5.33,34.3,61.72,12.1,26,12,22,"N-deficiency, K-deficiency",58.010000000000005
5.42,37.76,55.45,17.57,65,22,90,"Healthy, K-deficiency",51.724000000000004
7.06,30.38,53.56,14.09,42,5,83,"P-deficiency, Healthy",55.157999999999994
7.64,26.52,55.83,23.59,30,31,27,"N-deficiency, Healthy",50.648
5.64,24.76,56.35,18.62,63,43,32,"K-deficiency, N-deficiency",56.943999999999996
6.95,24.77,54.74,27.17,42,18,22,"N-deficiency, Healthy",47.479
5.18,20.26,39.42,35.26,37,17,32,"N-deficiency, P-deficiency",46.802
5.07,40.38,68.37,36.37,43,18,52,"P-deficiency, Healthy",36.074
5.23,22.81,47.44,37.91,19,7,51,"K-deficiency, Pest-risk",43.307
7.11,40.42,51.34,10.05,67,39,34,"N-deficiency, Pest-risk",53.47
7.56,29.07,88.48,36.26,53,14,71,"Pest-risk, Healthy",39.077
5.9,29.52,73.37,29.74,60,36,67,"Healthy, Pest-risk",45.147999999999996
7.2,37.49,69.09,30.48,34,33,22,"Pest-risk, K-deficiency",38.771
6.08,40.92,89.6,28.79,31,42,63,"N-deficiency, Pest-risk",39.848
6.64,21.57,54.56,35.02,21,19,29,"N-deficiency, N-deficiency",43.419
7.67,23.02,67.59,10.85,58,22,67,"N-deficiency, Pest-risk",62.650000000000006
5.62,36.29,57.54,21.42,24,38,88,"K-deficiency, Pest-risk",48.979
7.47,18.92,72.31,12.81,66,11,50,"N-deficiency, P-deficiency",62.732
6.5,37.89,52.31,24.65,65,42,72,"Pest-risk, P-deficiency",43.835
6.2,37.17,62.71,13.48,64,14,88,"P-deficiency, Healthy",53.731
7.56,21.58,38.6,26.5,50,31,72,"P-deficiency, Pest-risk",50.63
5.94,38.6,90.1,17.95,39,34,90,"N-deficiency, P-deficiency",49.96
5.86,35.91,50.34,29.85,46,34,72,"Healthy, K-deficiency",41.945
5.95,40.01,81.82,37.83,58,42,42,"K-deficiency, P-deficiency",33.331
7.86,34.44,91.74,25.38,27,23,77,"N-deficiency, N-deficiency",45.696000000000005
6.38,29.05,83.29,16.17,57,22,29,"P-deficiency, N-deficiency",55.279
5.84,20.84,30.43,26.88,69,33,46,"P-deficiency, Pest-risk",51.896
5.04,21.92,36.19,31.51,40,41,53,"Pest-risk, P-deficiency",49.252
6.74,39.21,56.36,30.15,40,14,77,"Pest-risk, P-deficiency",38.295
7.55,23.51,86.69,10.43,66,13,82,"Healthy, K-deficiency",62.501000000000005
7.8,38.01,45.61,29.04,37,27,26,"P-deficiency, P-deficiency",40.863
6.59,40.8,82.45,36.94,50,16,86,"N-deficiency, N-deficiency",32.368
6.94,20.67,70.72,13.44,37,22,27,"Pest-risk, Pest-risk",60.533
7.86,37.16,39.45,33.4,17,31,92,"Healthy, Pest-risk",37.92
5.91,41.13,49.49,37.37,71,26,91,"N-deficiency, Healthy",33.219
5.15,25.76,87.21,36.27,48,27,47,"Healthy, K-deficiency",43.304
5.56,32.31,66.45,30.51,65,27,80,"K-deficiency, Pest-risk",43.817
6.97,34.86,81.86,27.66,43,25,86,"P-deficiency, N-deficiency",42.002
6.13,28.7,27.32,9.39,57,31,33,"P-deficiency, Healthy",61.378
6.79,35.13,91.53,36.35,43,12,52,"P-deficiency, P-deficiency",35.275
6.69,22.96,88.94,12.82,22,20,46,"N-deficiency, N-deficiency",60.38399999999999
5.38,24.75,60.17,15.78,48,44,79,"Pest-risk, P-deficiency",59.74100000000001
6.48,36.38,34.95,17.22,71,17,35,"Healthy, Healthy",50.574000000000005
5.0,22.61,62.94,15.5,25,12,31,"N-deficiency, Pest-risk",61.795
5.75,39.56,75.06,26.28,16,15,56,"Healthy, Healthy",43.196
7.59,34.58,41.87,21.81,17,13,57,"N-deficiency, N-deficiency",47.942
6.23,29.76,42.45,29.43,67,9,68,"Pest-risk, Healthy",44.616
6.4,20.72,44.11,24.12,73,25,60,"N-deficiency, Pest-risk",53.044
6.78,37.65,42.08,36.27,69,36,80,"Healthy, K-deficiency",34.099
6.14,34.89,68.94,14.34,21,38,69,"Healthy, P-deficiency",54.303
6.4,33.66,28.59,12.01,54,38,70,"Healthy, P-deficiency",56.262
5.25,33.71,93.76,11.26,27,6,34,"Pest-risk, Pest-risk",59.137
7.88,25.56,78.69,36.27,30,26,68,"Pest-risk, P-deficiency",41.464
5.36,19.95,50.95,15.05,55,43,85,"N-deficiency, N-deficiency",62.765
6.25,31.75,58.11,24.35,61,14,92,"Pest-risk, Pest-risk",47.644999999999996
5.5,33.65,47.49,24.89,61,39,73,"N-deficiency, Healthy",47.763000000000005
7.92,37.91,45.4,28.94,16,14,67,"K-deficiency, K-deficiency",41.233000000000004
7.72,18.37,54.52,37.77,49,39,56,"P-deficiency, Pest-risk",43.538999999999994
5.35,32.6,76.24,21.21,49,38,31,"K-deficiency, Healthy",51.532
5.82,32.44,60.74,31.85,61,9,76,"P-deficiency, Pest-risk",42.16
6.46,28.09,31.49,21.13,41,7,60,"N-deficiency, N-deficiency",51.631
7.78,31.62,68.69,34.54,36,8,55,"K-deficiency, K-deficiency",39.618
5.78,41.9,63.06,23.62,38,32,68,"P-deficiency, Healthy",44.094
7.19,35.66,26.87,17.05,36,35,48,"P-deficiency, N-deficiency",50.410000000000004
6.7,22.49,81.31,35.89,59,8,46,"Pest-risk, Healthy",42.143
5.27,33.95,78.35,30.1,20,37,67,"Healthy, Healthy",43.905
5.28,21.75,94.95,8.43,64,7,58,"K-deficiency, Pest-risk",67.321
5.24,39.68,27.77,14.59,74,35,63,"P-deficiency, N-deficiency",53.507999999999996
7.13,19.36,36.1,11.04,46,41,64,"N-deficiency, Pest-risk",63.248
7.56,26.62,52.62,11.7,70,9,46,"N-deficiency, P-deficiency",59.949999999999996
5.92,32.62,86.39,25.33,58,26,76,"Pest-risk, Healthy",47.086000000000006
5.39,35.77,80.94,13.75,27,12,76,"N-deficiency, Healthy",55.834999999999994
5.26,40.47,65.15,24.74,27,26,23,"Healthy, K-deficiency",44.953
6.03,38.69,64.51,31.82,46,9,54,"K-deficiency, K-deficiency",38.639
6.48,36.61,56.92,9.34,55,12,88,"P-deficiency, Healthy",56.763
7.71,29.16,64.67,9.88,27,27,74,"Pest-risk, Healthy",60.436
5.56,19.38,41.48,14.7,72,39,44,"K-deficiency, K-deficiency",62.93
5.41,20.0,32.14,23.25,16,20,92,"K-deficiency, P-deficiency",56.080000000000005
6.04,31.67,67.46,17.11,26,16,31,"K-deficiency, Healthy",53.897000000000006
6.35,24.78,68.55,15.07,46,11,78,"K-deficiency, N-deficiency",58.354
6.11,35.31,82.17,26.07,57,7,28,"N-deficiency, P-deficiency",44.769
5.5,35.7,93.56,34.35,65,42,27,"Pest-risk, Healthy",39.17
7.49,27.51,63.41,32.55,44,5,53,"K-deficiency, Pest-risk",42.685
5.02,39.33,52.58,25.22,25,34,30,"Pest-risk, K-deficiency",45.619
6.23,37.34,63.95,22.83,53,14,43,"Pest-risk, Pest-risk",46.106
6.87,31.84,79.91,17.52,40,24,89,"K-deficiency, N-deficiency",51.824000000000005
5.33,28.45,67.53,23.15,47,5,68,"Healthy, P-deficiency",52.095
7.96,40.59,70.74,36.88,74,30,46,"Pest-risk, Pest-risk",33.620999999999995
7.47,39.47,55.01,35.72,72,9,32,"Pest-risk, K-deficiency",34.129
7.88,25.77,48.56,34.25,67,40,44,"K-deficiency, N-deficiency",42.975
6.13,31.68,82.55,15.66,38,29,33,"K-deficiency, P-deficiency",54.87200000000001
6.44,31.91,56.7,26.73,70,42,90,"Healthy, Pest-risk",45.281
5.02,41.47,35.48,11.73,29,22,53,"P-deficiency, Healthy",55.341
5.54,36.3,73.44,19.57,72,22,76,"K-deficiency, Pest-risk",50.614000000000004
6.62,29.89,49.95,15.71,46,43,21,"P-deficiency, P-deficiency",54.747
7.78,30.21,69.1,18.62,43,35,40,"N-deficiency, P-deficiency",53.059
7.65,37.52,77.75,26.57,60,12,38,"K-deficiency, P-deficiency",42.784
7.83,27.65,52.8,36.33,35,32,90,"N-deficiency, Pest-risk",40.271
6.58,28.82,78.15,22.81,51,15,83,"Healthy, K-deficiency",49.682
5.79,41.63,51.73,21.82,48,8,84,"N-deficiency, K-deficiency",45.649
5.71,34.18,60.97,25.44,62,22,93,"P-deficiency, Pest-risk",46.638
7.66,31.68,38.6,36.98,57,30,76,"K-deficiency, N-deficiency",37.396
5.86,38.8,29.67,31.52,49,8,23,"P-deficiency, Pest-risk",39.164
7.12,33.5,55.69,16.67,65,26,65,"K-deficiency, K-deficiency",51.654
7.36,41.68,29.14,8.68,42,7,35,"Healthy, Pest-risk",54.43600000000001
7.28,22.63,67.33,13.6,43,35,25,"Pest-risk, N-deficiency",59.86500000000001
6.99,22.44,91.59,25.84,57,15,77,"Pest-risk, P-deficiency",49.628
6.85,38.54,91.19,20.56,38,35,77,"N-deficiency, Pest-risk",46.08200000000001
7.13,24.73,28.84,18.75,29,42,24,"Pest-risk, N-deficiency",54.394999999999996
5.59,24.08,64.64,19.95,17,42,47,"P-deficiency, P-deficiency",56.32
7.77,28.63,90.33,13.86,59,16,93,"K-deficiency, N-deficiency",57.637
5.62,37.52,37.19,36.94,33,38,62,"P-deficiency, Healthy",35.948
7.13,27.78,73.56,13.77,20,22,25,"Healthy, K-deficiency",56.854000000000006
7.93,19.61,34.84,14.31,33,21,26,"K-deficiency, P-deficiency",62.107
7.49,18.38,89.99,27.27,17,40,26,"N-deficiency, Healthy",51.474000000000004
6.33,29.68,89.26,8.87,67,11,42,"Healthy, K-deficiency",60.90400000000001
6.11,33.53,38.28,8.68,20,43,43,"P-deficiency, P-deficiency",59.571000000000005
5.0,40.39,69.13,30.68,40,34,36,"P-deficiency, N-deficiency",40.761
5.34,35.95,55.54,15.85,37,35,45,"K-deficiency, N-deficiency",54.165
6.37,21.86,29.22,19.29,44,18,58,"Healthy, Pest-risk",56.398
5.96,21.63,54.53,23.41,33,19,69,"Healthy, Healthy",54.037000000000006
6.43,40.66,89.46,24.34,55,15,86,"K-deficiency, K-deficiency",42.83800000000001
7.06,27.22,39.19,32.21,51,32,54,"Pest-risk, N-deficiency",42.242
5.68,33.76,78.39,15.72,64,14,85,"Pest-risk, Pest-risk",54.684000000000005
5.71,38.68,60.55,36.43,19,31,39,"N-deficiency, K-deficiency",35.596000000000004
5.82,23.27,25.69,36.23,29,39,42,"P-deficiency, Healthy",43.241
6.84,23.86,50.82,15.22,34,8,62,"Pest-risk, Pest-risk",57.714000000000006
5.8,38.13,87.9,20.97,26,13,88,"N-deficiency, Healthy",48.059000000000005
6.68,32.65,51.9,31.91,31,16,53,"N-deficiency, Pest-risk",40.287000000000006
6.37,26.13,40.77,18.48,21,21,42,"N-deficiency, Pest-risk",54.911
6.47,25.58,90.07,15.73,44,8,90,"K-deficiency, P-deficiency",57.186
6.66,36.09,62.51,21.56,37,19,76,"Pest-risk, N-deficiency",46.887
6.79,39.11,65.45,14.72,21,43,52,"P-deficiency, P-deficiency",50.589000000000006
7.05,33.96,68.11,15.5,31,43,33,"Pest-risk, Pest-risk",52.220000000000006
6.84,39.9,80.88,18.11,52,43,51,"K-deficiency, Healthy",47.382
6.5,33.19,76.82,8.08,62,21,63,"K-deficiency, Healthy",59.441
7.15,18.25,52.68,22.15,22,35,28,"P-deficiency, N-deficiency",54.955
5.31,30.5,88.83,36.55,60,22,78,"Pest-risk, P-deficiency",40.39000000000001
6.23,29.32,75.83,19.25,56,43,34,"K-deficiency, N-deficiency",52.98
7.89,23.0,35.09,23.45,50,35,74,"K-deficiency, Pest-risk",53.02
5.83,30.01,93.63,22.15,64,6,46,"Healthy, N-deficiency",51.114999999999995
7.6,34.25,38.26,35.84,60,23,63,"Healthy, K-deficiency",36.90299999999999
7.38,29.73,70.68,31.45,33,21,81,"K-deficiency, N-deficiency",42.235
6.99,30.32,59.4,25.21,53,5,79,"N-deficiency, Healthy",46.19199999999999
7.15,28.79,32.15,15.73,42,22,80,"Healthy, K-deficiency",54.821
7.07,20.71,69.06,10.6,28,26,65,"K-deficiency, Pest-risk",62.805
7.64,33.58,38.33,27.19,16,8,64,"Healthy, K-deficiency",44.238
5.93,27.77,67.62,25.45,64,15,75,"Pest-risk, P-deficiency",49.395
6.57,26.19,90.95,11.27,62,6,38,"Healthy, K-deficiency",60.249
5.72,24.53,34.37,29.83,65,13,27,"K-deficiency, N-deficiency",47.931000000000004
6.94,25.48,30.59,25.85,61,22,48,"K-deficiency, K-deficiency",48.199999999999996
6.17,38.4,77.61,16.48,19,33,43,"N-deficiency, P-deficiency",50.775999999999996
5.69,31.39,75.38,21.43,67,40,93,"K-deficiency, N-deficiency",51.281
7.39,37.3,53.08,33.27,26,12,64,"Healthy, K-deficiency",37.014
7.3,18.92,72.2,24.36,17,44,65,"Healthy, Pest-risk",53.152
7.06,38.55,55.43,12.64,41,39,44,"P-deficiency, N-deficiency",52.233
7.51,23.06,37.42,21.54,47,24,63,"N-deficiency, P-deficiency",53.757999999999996
6.1,27.13,57.06,16.2,15,17,79,"P-deficiency, K-deficiency",56.775000000000006
7.02,22.45,63.17,37.0,53,11,69,"N-deficiency, Pest-risk",40.714999999999996
6.72,31.45,42.32,22.2,51,42,55,"N-deficiency, N-deficiency",48.575
7.78,27.43,67.76,16.69,57,42,37,"Healthy, K-deficiency",55.99300000000001
6.94,25.63,90.63,12.98,65,43,48,"N-deficiency, N-deficiency",58.421
7.04,33.42,34.69,17.66,26,20,57,"Healthy, P-deficiency",50.742000000000004
6.44,33.86,34.95,20.5,61,13,74,"P-deficiency, Pest-risk",49.29
6.49,34.01,57.83,13.83,43,29,88,"K-deficiency, K-deficiency",54.45100000000001
7.53,21.84,60.39,31.07,57,34,80,"Pest-risk, N-deficiency",46.784
5.22,24.1,91.67,16.22,50,26,41,"P-deficiency, P-deficiency",60.034000000000006
5.75,35.91,37.52,26.75,24,14,56,"N-deficiency, Healthy",44.645
5.95,38.96,55.34,27.61,42,21,65,"P-deficiency, Pest-risk",42.032000000000004
6.42,35.14,75.15,17.71,16,5,49,"K-deficiency, Pest-risk",50.922
7.85,27.9,49.12,14.23,66,14,94,"N-deficiency, Pest-risk",57.866
7.38,30.71,77.38,36.43,28,15,53,"Pest-risk, Healthy",37.761
5.48,29.59,76.05,13.51,50,25,78,"Healthy, Healthy",58.937000000000005
7.62,23.44,65.76,24.72,68,9,47,"P-deficiency, P-deficiency",51.24400000000001
6.74,30.51,61.51,27.79,54,43,42,"K-deficiency, K-deficiency",44.533
7.69,35.68,31.4,35.03,57,7,34,"Healthy, P-deficiency",37.016
6.89,37.74,42.45,28.77,57,21,39,"P-deficiency, N-deficiency",39.834
7.52,33.56,35.06,8.16,30,17,83,"K-deficiency, Pest-risk",59.232
6.13,34.81,43.03,9.79,38,22,55,"Pest-risk, N-deficiency",58.003
5.06,21.45,57.18,28.91,71,28,44,"K-deficiency, P-deficiency",51.527
5.25,26.13,82.01,18.15,65,22,36,"Healthy, Healthy",57.415000000000006
7.3,23.68,39.6,25.88,21,15,77,"Healthy, Healthy",49.556000000000004
7.42,34.37,94.39,25.47,17,9,83,"Healthy, P-deficiency",44.779
7.19,40.06,50.38,10.93,43,32,35,"Healthy, Healthy",53.106
7.8,31.1,67.05,28.11,28,30,81,"Healthy, Healthy",45.062
6.03,21.48,69.04,22.75,22,10,42,"N-deficiency, P-deficiency",54.5
5.16,27.14,31.96,23.7,73,41,69,"K-deficiency, Pest-risk",52.65
5.64,35.2,29.24,23.47,28,24,55,"Pest-risk, Healthy",47.844
5.6,33.55,93.56,16.97,40,19,60,"Pest-risk, N-deficiency",53.949
6.32,31.21,77.0,13.78,47,11,75,"Pest-risk, N-deficiency",56.230999999999995
5.74,24.42,43.09,23.05,63,21,76,"P-deficiency, Pest-risk",53.370000000000005
7.65,26.38,51.36,18.76,39,5,89,"P-deficiency, K-deficiency",54.602000000000004
5.25,25.14,65.96,23.23,52,33,41,"P-deficiency, P-deficiency",53.846000000000004
6.0,40.34,94.35,37.35,50,20,84,"N-deficiency, Pest-risk",33.449999999999996
7.19,25.87,86.69,8.23,43,41,70,"Healthy, Pest-risk",62.361
5.42,23.53,90.09,37.94,71,10,88,"P-deficiency, P-deficiency",42.543000000000006
6.94,18.91,63.95,35.09,26,13,74,"Pest-risk, N-deficiency",44.092999999999996
6.76,36.73,68.13,20.62,20,22,93,"Pest-risk, P-deficiency",47.119
7.52,18.8,81.66,23.61,28,37,31,"Healthy, P-deficiency",54.252
5.35,24.41,48.67,11.55,51,13,63,"P-deficiency, P-deficiency",63.355000000000004
5.17,20.61,48.78,14.7,58,17,55,"Pest-risk, K-deficiency",63.095
7.76,31.63,66.52,32.35,18,11,59,"Pest-risk, P-deficiency",41.325
7.07,38.85,77.03,13.94,57,42,82,"Healthy, K-deficiency",51.063
5.13,40.15,35.71,29.36,60,42,88,"P-deficiency, K-deficiency",41.677
5.65,25.79,68.88,31.94,73,44,41,"P-deficiency, K-deficiency",45.753
5.09,32.59,44.86,25.67,46,29,40,"N-deficiency, Healthy",48.489
5.57,25.09,36.56,9.15,43,24,32,"N-deficiency, K-deficiency",64.495
7.97,34.93,30.58,32.25,67,39,64,"K-deficiency, P-deficiency",40.175
7.33,34.71,46.53,14.58,51,22,88,"K-deficiency, P-deficiency",53.141000000000005
6.5,32.54,48.58,16.0,25,8,67,"N-deficiency, N-deficiency",53.43000000000001
7.17,21.59,57.09,35.76,56,23,38,"K-deficiency, K-deficiency",42.437
7.54,40.08,80.5,30.18,66,21,52,"N-deficiency, P-deficiency",38.396
7.08,22.43,42.46,35.35,18,40,94,"Healthy, P-deficiency",42.165
5.34,38.12,40.06,14.17,35,19,89,"K-deficiency, Healthy",54.424
7.34,35.25,56.38,20.32,39,42,32,"K-deficiency, Pest-risk",48.299
7.49,40.13,45.03,20.1,37,20,41,"Healthy, Healthy",46.335
7.7,37.39,82.36,17.01,57,28,82,"N-deficiency, K-deficiency",50.596999999999994
7.4,39.9,61.6,20.18,62,22,76,"K-deficiency, K-deficiency",46.206
6.37,34.37,27.69,31.99,50,16,56,"P-deficiency, Healthy",39.983000000000004
6.83,19.76,81.42,17.92,46,33,45,"Healthy, K-deficiency",57.623999999999995
6.86,33.93,90.12,12.59,51,27,50,"Healthy, Healthy",54.742999999999995
5.82,34.96,68.56,12.25,44,38,44,"P-deficiency, Pest-risk",56.58
5.88,27.85,55.18,11.05,18,39,30,"K-deficiency, K-deficiency",60.975
7.38,23.3,34.94,16.83,61,18,70,"Pest-risk, Pest-risk",57.146
5.03,20.29,56.02,28.21,67,23,66,"N-deficiency, K-deficiency",52.727
7.56,21.54,80.89,16.13,71,9,58,"Healthy, N-deficiency",58.946000000000005
7.84,27.49,90.18,13.45,15,16,42,"K-deficiency, Healthy",58.675
7.73,36.96,77.57,33.57,19,41,23,"N-deficiency, Healthy",37.624
6.1,31.27,44.3,29.78,52,7,37,"Pest-risk, N-deficiency",43.840999999999994
7.57,19.64,32.97,36.47,57,33,42,"P-deficiency, N-deficiency",43.644000000000005
6.21,36.73,64.57,33.57,29,24,59,"Healthy, P-deficiency",37.859
5.72,36.13,88.25,11.61,20,11,87,"P-deficiency, P-deficiency",56.70700000000001
5.13,34.82,93.77,15.3,39,42,77,"Healthy, P-deficiency",55.59000000000001
7.05,28.05,65.64,22.66,16,5,42,"Pest-risk, P-deficiency",49.447
7.91,25.09,67.42,27.96,67,43,81,"K-deficiency, Pest-risk",48.407000000000004
7.89,21.78,40.19,29.62,37,12,50,"Pest-risk, Healthy",48.694
7.69,36.19,55.64,12.35,60,14,49,"Pest-risk, K-deficiency",54.90500000000001
6.88,41.81,88.29,31.33,74,12,52,"K-deficiency, P-deficiency",35.771
6.62,21.54,87.02,27.62,62,25,92,"Healthy, K-deficiency",49.394
7.08,40.07,43.74,27.09,53,35,34,"Healthy, Pest-risk",39.953
6.16,32.62,66.4,20.32,71,9,44,"Pest-risk, Pest-risk",50.614
7.66,37.66,53.9,27.2,16,28,63,"Healthy, N-deficiency",42.230000000000004
6.85,24.31,68.58,18.9,25,7,85,"Pest-risk, P-deficiency",54.525000000000006
6.69,35.22,69.62,15.45,53,13,87,"K-deficiency, Pest-risk",52.15
5.69,38.17,60.79,16.97,20,27,22,"Healthy, N-deficiency",51.458999999999996
7.04,18.33,38.21,34.6,39,44,72,"N-deficiency, N-deficiency",44.735
7.35,19.94,55.66,20.12,62,8,85,"N-deficiency, Pest-risk",56.134
6.72,34.53,94.24,20.19,43,24,84,"Healthy, Healthy",48.643
5.29,23.18,79.01,26.09,65,43,77,"K-deficiency, K-deficiency",52.458
5.87,24.39,64.4,27.33,50,12,25,"N-deficiency, N-deficiency",49.701
7.01,25.98,74.55,8.37,30,14,27,"N-deficiency, Healthy",61.834
6.85,21.9,73.5,27.73,54,13,58,"N-deficiency, P-deficiency",48.666
6.63,38.77,27.28,33.96,74,12,76,"N-deficiency, N-deficiency",35.687
5.84,27.59,60.52,34.3,48,15,56,"Pest-risk, N-deficiency",42.585
7.39,32.88,70.89,28.13,69,15,85,"P-deficiency, Pest-risk",43.336
5.29,23.22,92.82,29.83,48,42,57,"P-deficiency, Pest-risk",49.446000000000005
5.73,31.75,47.88,19.56,27,5,54,"Healthy, P-deficiency",52.517
5.89,31.77,65.31,24.44,40,24,21,"N-deficiency, Healthy",48.283
6.95,25.18,65.18,23.74,53,20,38,"Healthy, P-deficiency",50.01800000000001
6.49,19.15,85.43,26.09,43,5,32,"N-deficiency, Healthy",52.07299999999999
6.17,35.84,82.78,35.61,19,16,42,"N-deficiency, P-deficiency",36.751999999999995
